city,country,lat,lng
A Coruña,43.3713,-8.4188,Spain
Abuja,9.0556,7.4914,Nigeria
Acapulco de Juárez,16.8636,-99.8825,Mexico
Accra,5.6037,-0.187,Ghana
Adana,37.0,35.325,Turkey
Addis Ababa,9.0272,38.7369,Ethiopia
Adelaide,-34.9289,138.6011,Australia
Aden,12.8,45.0333,Yemen
Agadir,30.4167,-9.5833,Morocco
Agartala,23.8333,91.2667,India
Aguascalientes,21.876,-102.296,Mexico
Ahmadnagar,19.0833,74.7333,India
Ahmedabad,23.03,72.58,India
Akola,20.7333,77.0,India
Aksu,41.1664,80.25,China
Al Başrah,30.4889,47.81,Iraq
Al Fallūjah,33.35,43.7833,Iraq
Al Fayyūm,29.3,30.8333,Egypt
Al Hufūf,25.3608,49.5997,Saudi Arabia
Al Kūt,32.4907,45.8304,Iraq
Al Qaţīf,26.5196,50.0115,Saudi Arabia
Al Ḩillah,23.4895,46.7564,Saudi Arabia
Al Ḩillah,32.4833,44.4333,Iraq
Al ‘Amārah,31.8416,47.1512,Iraq
Aleppo,36.2,37.15,Syria
Allentown,40.5961,-75.4756,United States
Alofi,-19.056,-169.921,Niue
Alīgarh,27.88,78.08,India
Ambon,-3.705,128.17,Indonesia
Amman,31.95,35.9333,Jordan
Amritsar,31.6167,74.85,India
Amrāvati,20.9333,77.75,India
An Najaf,32.029,44.3396,Iraq
Ananindeua,-1.3658,-48.3719,Brazil
Andijon,40.7,72.35,Uzbekistan
Ankang,32.6877,109.0235,China
Ankara,39.93,32.85,Turkey
Ann Arbor,42.2755,-83.7312,United States
Anqing,30.5,117.0333,China
Ansan,37.3236,126.8219,"Korea, South"
Anshun,26.2456,105.934,China
Antipolo,14.5842,121.1763,Philippines
Antwerp,51.2206,4.4003,Belgium
Anyang,37.3925,126.9269,"Korea, South"
Aqtöbe,50.3,57.1667,Kazakhstan
Ar Ramādī,33.4258,43.2992,Iraq
Ardabīl,38.25,48.3,Iran
Arkhangelsk,64.55,40.5333,Russia
Arāk,34.08,49.7,Iran
Asan,36.35,126.9167,"Korea, South"
Ashgabat,37.95,58.3833,Turkmenistan
Asmara,15.3333,38.9167,Eritrea
Astrakhan,46.3333,48.0167,Russia
Asyūţ,27.1869,31.1714,Egypt
Athens,37.9842,23.7281,Greece
Auckland,-36.85,174.7833,New Zealand
Aurora,39.7087,-104.7273,United States
Austin,30.3004,-97.7522,United States
Avarua,-21.207,-159.771,Cook Islands
Az Zaqāzīq,30.5667,31.5,Egypt
Az Zarqā’,32.0833,36.1,Jordan
Aţ Ţā’if,21.2667,40.4167,Saudi Arabia
Bacolod,10.6765,122.9509,Philippines
Bacoor,14.4624,120.9645,Philippines
Bahawalpur,29.3956,71.6722,Pakistan
Baishan,41.9377,126.4179,China
Bakersfield,35.3529,-119.0359,United States
Balashikha,55.8,37.95,Russia
Balikpapan,-1.1489,116.9031,Indonesia
Baltimore,39.3051,-76.6144,United States
Bamiantong,44.9164,130.5212,China
Bandar Lampung,-5.4294,105.2625,Indonesia
Banjul,13.4531,-16.5775,"Gambia, The"
Baoding,38.8671,115.4845,China
Baotou,40.6562,109.8345,China
Barcelona,10.1333,-64.6833,Venezuela
Bari,41.1253,16.8667,Italy
Barquisimeto,10.0678,-69.3467,Venezuela
Batman,37.8833,41.1333,Turkey
Bauchi,10.3158,9.8442,Nigeria
Bauru,-22.3147,-49.0606,Brazil
Ba‘qūbah,33.7447,44.6436,Iraq
Beian,48.2395,126.5037,China
Beihai,21.4667,109.1,China
Beijing,39.905,116.3914,China
Beira,-19.8333,34.85,Mozambique
Beirut,33.8869,35.5131,Lebanon
Bekasi,-6.2333,107.0,Indonesia
Belgrade,44.8167,20.4667,Serbia
